               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 130,            0.027841,            0.037192,           0.0035136,             0.46721,             0.53484,             0.50503,             0.31462,            0.050827,            0.026655,            0.011825,           0.0093615,           0.0093615,           0.0093615
                 131,             0.02866,            0.037604,           0.0035872,             0.58815,             0.51675,             0.50541,             0.31542,            0.046392,            0.026726,            0.011315,           0.0093565,           0.0093565,           0.0093565
                 132,            0.028319,            0.042198,           0.0038894,             0.64993,             0.48579,             0.53387,             0.32126,            0.046845,            0.026625,           0.0089635,           0.0093516,           0.0093516,           0.0093516
                 133,            0.028875,            0.038848,           0.0033274,             0.73619,             0.50025,             0.52222,             0.32989,            0.048974,            0.026685,           0.0075777,           0.0093466,           0.0093466,           0.0093466
                 134,            0.028596,            0.039011,           0.0047151,             0.47126,             0.57161,             0.52719,             0.32225,            0.048407,            0.025624,           0.0071102,           0.0093416,           0.0093416,           0.0093416
                 135,            0.031107,            0.038162,           0.0038829,             0.60693,             0.45765,             0.49175,             0.28523,            0.050901,            0.026099,           0.0071298,           0.0093367,           0.0093367,           0.0093367
                 136,            0.026068,            0.038551,           0.0051676,             0.55286,             0.47272,             0.49214,             0.30127,            0.049497,            0.027574,           0.0071066,           0.0093317,           0.0093317,           0.0093317
                 137,            0.026958,             0.03952,           0.0035106,             0.57446,             0.47637,             0.51288,             0.29861,            0.052254,            0.027298,           0.0076507,           0.0093268,           0.0093268,           0.0093268
                 138,            0.027406,            0.038397,            0.003501,             0.48542,             0.50407,             0.48743,             0.29057,            0.053544,            0.026078,           0.0079898,           0.0093219,           0.0093219,           0.0093219
                 139,            0.029451,             0.03641,           0.0030396,             0.58957,             0.47886,             0.50585,             0.30853,            0.050312,             0.02777,           0.0086804,           0.0093169,           0.0093169,           0.0093169
