               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  85,             0.05978,            0.020098,           0.0036159,             0.68307,             0.79211,             0.83495,              0.5882,            0.014757,           0.0057322,          0.00094797,            0.005842,            0.005842,            0.005842
                  86,             0.03808,            0.019334,           0.0029485,             0.68307,             0.79211,             0.83495,              0.5882,            0.014757,           0.0057322,          0.00094797,           0.0057925,           0.0057925,           0.0057925
                  87,            0.044566,            0.021688,           0.0017114,             0.55328,             0.83333,              0.8465,             0.45248,            0.015035,            0.005724,          0.00076233,            0.005743,            0.005743,            0.005743
                  88,             0.04481,            0.023891,           0.0028335,             0.55328,             0.83333,              0.8465,             0.45248,            0.015035,            0.005724,          0.00076233,           0.0056935,           0.0056935,           0.0056935
                  89,            0.044481,            0.022486,            0.021365,             0.58938,             0.83333,             0.83853,             0.46091,            0.014869,             0.00558,          0.00078136,            0.005644,            0.005644,            0.005644
                  90,            0.041084,            0.016708,           0.0037045,             0.58938,             0.83333,             0.83853,             0.46091,            0.014869,             0.00558,          0.00078136,           0.0055945,           0.0055945,           0.0055945
                  91,            0.043695,            0.017221,            0.002172,             0.70032,              0.7838,               0.841,             0.46199,            0.015582,           0.0056124,          0.00056816,            0.005545,            0.005545,            0.005545
                  92,            0.048397,            0.018663,           0.0024349,             0.70032,              0.7838,               0.841,             0.46199,            0.015582,           0.0056124,          0.00056816,           0.0054955,           0.0054955,           0.0054955
                  93,            0.045367,            0.018137,           0.0016856,             0.57845,              0.6828,              0.7915,             0.41534,            0.015812,           0.0055307,          0.00048621,            0.005446,            0.005446,            0.005446
                  94,            0.061175,            0.036191,           0.0022196,             0.57845,              0.6828,              0.7915,             0.41534,            0.015812,           0.0055307,          0.00048621,           0.0053965,           0.0053965,           0.0053965
                  95,            0.053846,            0.018914,           0.0027682,             0.76966,             0.52394,             0.78168,             0.38684,            0.017714,           0.0054702,          0.00041529,            0.005347,            0.005347,            0.005347
                  96,            0.031904,            0.019879,           0.0029234,             0.76966,             0.52394,             0.78168,             0.38684,            0.017714,           0.0054702,          0.00041529,           0.0052975,           0.0052975,           0.0052975
                  97,            0.061392,            0.018718,           0.0044194,             0.75271,             0.50879,             0.79857,             0.38504,            0.017232,           0.0055114,          0.00040893,            0.005248,            0.005248,            0.005248
                  98,            0.055046,            0.033541,           0.0024205,             0.75271,             0.50879,             0.79857,             0.38504,            0.017232,           0.0055114,          0.00040893,           0.0051985,           0.0051985,           0.0051985
                  99,            0.048345,            0.019184,           0.0023024,                   1,             0.53678,             0.80938,              0.4208,            0.017975,           0.0057004,          0.00041654,            0.005149,            0.005149,            0.005149
                 100,            0.044614,            0.020385,           0.0038191,                   1,             0.53678,             0.80938,              0.4208,            0.017975,           0.0057004,          0.00041654,           0.0050995,           0.0050995,           0.0050995
                 101,            0.046998,            0.022018,           0.0021498,              0.8665,             0.73392,             0.84833,             0.48744,             0.01261,            0.006058,          0.00049707,             0.00505,             0.00505,             0.00505
                 102,            0.027876,             0.01685,           0.0014316,              0.8665,             0.73392,             0.84833,             0.48744,             0.01261,            0.006058,          0.00049707,           0.0050005,           0.0050005,           0.0050005
                 103,             0.06433,            0.023562,           0.0024677,             0.83561,             0.71111,              0.8465,             0.40475,            0.014363,           0.0059313,          0.00045008,            0.004951,            0.004951,            0.004951
                 104,            0.023526,            0.019488,           0.0016207,             0.83561,             0.71111,              0.8465,             0.40475,            0.014363,           0.0059313,          0.00045008,           0.0049015,           0.0049015,           0.0049015
                 105,            0.056107,            0.017903,           0.0020214,             0.89024,             0.66667,              0.7475,             0.39341,            0.012063,           0.0058768,          0.00043406,            0.004852,            0.004852,            0.004852
